[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:09:55,908] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:09:58,538] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:09:58,538] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:04,752] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:04,752] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:04,752] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:07,808] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:07,808] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:07,808] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:07,808] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:15,298] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:15,298] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
